ws_gap,odds_min,odds_max,ev_min,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
90,2.0,4.0,0.08,70,0.5142857142857142,16.442857142857147,101,0.45544554455445546,3.5643564356435635,10.003606789250355
90,2.0,4.0,0.0,70,0.5142857142857142,16.442857142857147,101,0.45544554455445546,3.5643564356435635,10.003606789250355
90,2.0,4.0,0.03,70,0.5142857142857142,16.442857142857147,101,0.45544554455445546,3.5643564356435635,10.003606789250355
90,2.0,4.0,0.05,70,0.5142857142857142,16.442857142857147,101,0.45544554455445546,3.5643564356435635,10.003606789250355
80,2.0,2.8,0.08,88,0.5113636363636364,16.511363636363633,124,0.4596774193548387,2.701612903225806,9.60648826979472
80,2.0,2.8,0.1,88,0.5113636363636364,16.511363636363633,124,0.4596774193548387,2.701612903225806,9.60648826979472
80,2.0,2.8,0.05,88,0.5113636363636364,16.511363636363633,124,0.4596774193548387,2.701612903225806,9.60648826979472
80,2.0,2.8,0.0,88,0.5113636363636364,16.511363636363633,124,0.4596774193548387,2.701612903225806,9.60648826979472
80,2.0,2.8,0.03,88,0.5113636363636364,16.511363636363633,124,0.4596774193548387,2.701612903225806,9.60648826979472
100,2.2,4.0,0.05,25,0.52,24.04,33,0.3939393939393939,-4.848484848484849,9.595757575757576
100,2.2,4.0,0.0,25,0.52,24.04,33,0.3939393939393939,-4.848484848484849,9.595757575757576
100,2.2,4.0,0.03,25,0.52,24.04,33,0.3939393939393939,-4.848484848484849,9.595757575757576
100,2.2,4.0,0.08,25,0.52,24.04,33,0.3939393939393939,-4.848484848484849,9.595757575757576
100,2.2,4.0,0.1,25,0.52,24.04,33,0.3939393939393939,-4.848484848484849,9.595757575757576
50,2.0,2.5,0.1,114,0.5087719298245614,13.982456140350877,199,0.4723618090452261,5.020100502512563,9.50127832143172
40,2.0,2.5,0.05,126,0.5079365079365079,13.206349206349207,235,0.4765957446808511,5.73191489361702,9.469132049983113
40,2.0,2.5,0.0,126,0.5079365079365079,13.206349206349207,235,0.4765957446808511,5.73191489361702,9.469132049983113
40,2.0,2.5,0.03,126,0.5079365079365079,13.206349206349207,235,0.4765957446808511,5.73191489361702,9.469132049983113
60,2.0,2.5,0.03,101,0.504950495049505,13.405940594059407,164,0.47560975609756095,5.189024390243902,9.297482492151655
60,2.0,2.5,0.1,101,0.504950495049505,13.405940594059407,164,0.47560975609756095,5.189024390243902,9.297482492151655
60,2.0,2.5,0.0,101,0.504950495049505,13.405940594059407,164,0.47560975609756095,5.189024390243902,9.297482492151655
60,2.0,2.5,0.05,101,0.504950495049505,13.405940594059407,164,0.47560975609756095,5.189024390243902,9.297482492151655
60,2.0,2.5,0.08,101,0.504950495049505,13.405940594059407,164,0.47560975609756095,5.189024390243902,9.297482492151655
50,2.2,2.8,0.0,100,0.49,18.25,162,0.41358024691358025,0.01851851851851977,9.13425925925926
50,2.2,2.8,0.03,100,0.49,18.25,162,0.41358024691358025,0.01851851851851977,9.13425925925926
50,2.2,2.8,0.05,100,0.49,18.25,162,0.41358024691358025,0.01851851851851977,9.13425925925926
50,2.2,2.8,0.08,100,0.49,18.25,162,0.41358024691358025,0.01851851851851977,9.13425925925926
50,2.2,2.8,0.1,100,0.49,18.25,162,0.41358024691358025,0.01851851851851977,9.13425925925926
80,2.0,3.0,0.08,93,0.5053763440860215,16.46236559139785,131,0.45038167938931295,1.7938931297709921,9.128129360584422
80,2.0,3.0,0.0,93,0.5053763440860215,16.46236559139785,131,0.45038167938931295,1.7938931297709921,9.128129360584422
