features,n_groups,n_feats,min_ev,max_odds,n_bets,win_rate,flat_roi,kelly_roi,bankroll
form_adv+elo+standings+market_ext,4,33,0.12,3.0,493,46.0,8.02,10.24,1102.35
form_basic+form_adv+elo+market_ext,4,39,0.15,2.5,234,50.9,8.0,5.94,1059.44
elo+standings+rest+market_ext,4,21,0.05,2.5,408,51.7,7.98,6.96,1069.6
form_adv+xg+elo+market_ext,4,39,0.12,2.5,282,51.4,7.95,6.57,1065.65
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.2,2.2,72,55.6,7.93,5.75,1057.5
xg+elo,2,22,0.2,2.2,96,56.2,7.93,6.99,1069.85
elo,1,8,0.08,2.5,394,51.5,7.88,8.13,1081.26
form_adv+xg+standings,3,40,0.2,3.0,388,45.4,7.88,8.87,1088.67
form_adv+standings,2,26,0.12,3.0,507,46.0,7.88,5.87,1058.74
elo+market_ext,2,10,0.08,2.5,365,51.0,7.83,7.57,1075.65
form_basic+elo,2,22,0.2,2.5,150,49.3,7.82,5.42,1054.22
xg+elo+standings+market_ext,4,32,0.03,2.5,554,52.2,7.82,7.35,1073.54
xg+elo+standings+rest+market_ext,5,35,0.2,2.2,88,55.7,7.8,6.34,1063.37
form_adv+standings+rest,3,29,0.2,2.5,149,49.7,7.73,5.06,1050.65
form_basic+elo+rest,3,25,0.1,2.5,312,51.3,7.73,4.32,1043.18
form_adv+elo+standings+market_ext,4,33,0.05,3.0,696,47.1,7.73,8.3,1082.97
form_adv+elo+standings,3,31,0.12,2.5,253,51.4,7.73,8.94,1089.36
elo+standings,2,16,0.1,2.5,280,50.7,7.72,8.56,1085.59
form_adv+xg+elo+standings+rest,5,48,0.2,3.0,356,45.5,7.71,8.15,1081.52
xg+elo+standings,3,30,0.05,2.5,512,51.8,7.7,11.14,1111.41
form_adv+xg+elo+rest+market_ext,5,42,0.15,2.5,260,51.2,7.69,6.42,1064.17
form_adv+xg+standings+market_ext,4,42,0.2,3.0,409,45.2,7.68,9.49,1094.93
form_basic+form_adv+elo+standings,4,45,0.15,2.2,104,55.8,7.68,5.79,1057.94
form_basic+elo+market_ext,3,24,0.2,2.5,153,49.7,7.67,6.0,1059.95
form_basic+elo+standings+rest+market_ext,5,35,0.15,2.5,251,50.6,7.67,5.57,1055.66
form_basic+form_adv+elo+standings+rest+market_ext,6,50,0.05,2.5,462,51.7,7.65,7.9,1078.96
form_adv+standings,2,26,0.1,3.0,562,45.9,7.63,5.87,1058.67
form_basic+form_adv+elo+standings,4,45,0.2,2.2,60,55.0,7.62,5.31,1053.1
xg+elo,2,22,0.08,2.5,409,51.6,7.62,5.27,1052.68
form_basic+elo+rest,3,25,0.12,2.5,279,50.9,7.61,3.94,1039.36
form_adv+xg+elo+standings+market_ext,5,47,0.08,2.5,411,52.1,7.61,7.18,1071.75
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.12,2.5,320,50.6,7.57,5.1,1051.04
xg+elo+standings+market_ext,4,32,0.1,2.5,375,50.7,7.57,5.33,1053.32
form_adv+elo+standings,3,31,0.08,3.0,601,46.4,7.57,7.07,1070.72
form_adv+standings+market_ext,3,28,0.15,2.5,215,50.2,7.54,5.68,1056.76
form_adv+elo+rest,3,26,0.08,2.2,179,57.5,7.54,6.22,1062.18
form_basic+elo+standings+rest+market_ext,5,35,0.03,2.5,517,52.2,7.53,6.31,1063.1
form_basic+form_adv+xg+elo+standings+rest+market_ext,7,64,0.15,2.5,262,50.4,7.52,5.46,1054.62
xg+elo+market_ext,3,24,0.08,2.5,395,51.6,7.49,7.5,1075.01
xg+standings+rest+market_ext,4,30,0.1,2.5,422,51.7,7.47,6.19,1061.86
elo+rest+market_ext,3,13,0.15,3.0,430,45.6,7.44,5.86,1058.58
