date,league,side,actual,won,odds,model_prob,mkt_prob,ev,fold
2025-05-25 19:00:00,La Liga,away,away,True,2.22,0.5655557226377335,0.4512877939529675,0.25320411988956826,Fold1 (2H 2024-25)
2025-06-01 18:45:00,Primeira Liga,home,draw,False,2.13,0.735582497102781,0.4701492537313433,0.5645722954249628,Fold1 (2H 2024-25)
2025-08-15 17:00:00,La Liga,home,away,False,2.37,0.5142659409327183,0.4212076583210604,0.22093207655005487,Fold2 (2025-26)
2025-08-16 14:00:00,Premier League,home,draw,False,1.93,0.6819491652482569,0.5180518051805181,0.31637252959793827,Fold2 (2025-26)
2025-08-16 15:00:00,Ligue 1,home,away,False,2.47,0.4896322256929196,0.40506329113924056,0.20877955717939511,Fold2 (2025-26)
2025-08-16 19:05:00,Ligue 1,home,away,False,2.22,0.5462203139177572,0.45051194539249145,0.21244357559017302,Fold2 (2025-26)
2025-08-17 13:00:00,Premier League,home,draw,False,1.8,0.678184778925725,0.5546995377503853,0.22261644867443198,Fold2 (2025-26)
2025-08-17 15:30:00,Premier League,away,away,True,1.96,0.6880445238143805,0.5095541401273885,0.3502873779857216,Fold2 (2025-26)
2025-08-23 18:45:00,Serie A,home,home,True,2.22,0.5409928667732201,0.449677174325864,0.20306944105902747,Fold2 (2025-26)
2025-08-24 13:00:00,Premier League,away,home,False,2.5,0.5143817870974208,0.4007285974499089,0.2836163687112909,Fold2 (2025-26)
2025-08-24 16:30:00,Serie A,home,home,True,2.5,0.48856347560349755,0.4007285974499089,0.21918794593781898,Fold2 (2025-26)
2025-08-24 18:45:00,Serie A,home,draw,False,1.53,0.8123216025162487,0.6554307116104868,0.2393706735533625,Fold2 (2025-26)
2025-08-25 19:00:00,Premier League,away,away,True,2.32,0.5300389561933035,0.4310344827586207,0.22969037836846407,Fold2 (2025-26)
2025-08-27 19:00:00,La Liga,home,draw,False,2.48,0.504936751750381,0.40293767368003175,0.25313859867902444,Fold2 (2025-26)
2025-08-29 17:30:00,La Liga,home,home,True,2.28,0.5385033210105071,0.43940125543215836,0.22553887671731898,Fold2 (2025-26)
2025-08-31 15:15:00,Ligue 1,away,home,False,2.26,0.572249739459444,0.44155844155844154,0.2959773511287409,Fold2 (2025-26)
2025-08-31 17:30:00,La Liga,home,home,True,2.44,0.5581638624082689,0.41025641025641024,0.3605244146201554,Fold2 (2025-26)
2025-09-06 19:30:00,Primeira Liga,away,away,True,2.46,0.520342272111462,0.40590405904059046,0.28193414311096543,Fold2 (2025-26)
2025-09-12 19:00:00,La Liga,home,draw,False,1.85,0.773781279747315,0.5405405405405405,0.43149536753253304,Fold2 (2025-26)
2025-09-13 14:30:00,Primeira Liga,home,home,True,1.81,0.6735441895530991,0.5513666352497644,0.22159040190741575,Fold2 (2025-26)
2025-09-13 19:00:00,La Liga,home,home,True,1.83,0.6959530931292967,0.5470357209650272,0.27222604750849544,Fold2 (2025-26)
2025-09-14 13:30:00,Bundesliga,home,home,True,2.22,0.5468350957714202,0.45092838196286467,0.21268724179897314,Fold2 (2025-26)
2025-09-14 15:30:00,Premier League,home,home,True,1.83,0.682748919312807,0.54584017471928,0.25082203717221385,Fold2 (2025-26)
2025-09-14 18:45:00,Serie A,home,home,True,1.85,0.7163686860409352,0.5405405405405405,0.3252820691757303,Fold2 (2025-26)
2025-09-19 18:30:00,Bundesliga,home,home,True,1.81,0.6924825021140864,0.5520461161585652,0.2543924897665313,Fold2 (2025-26)
2025-09-23 17:00:00,La Liga,home,draw,False,2.39,0.5029557739357341,0.41883568448241604,0.20084269934466303,Fold2 (2025-26)
2025-09-24 17:00:00,La Liga,home,draw,False,2.49,0.5033840612186761,0.4018014489915802,0.252817934036929,Fold2 (2025-26)
