ws_gap,ws_dom,odds_min,odds_max,f1_n,f1_wr,f1_roi,f2_n,f2_wr,f2_roi,avg_roi
100,75,1.7,4.0,88,0.5454545454545454,8.06818181818182,128,0.46875,-6.859374999999999,0.6044034090909105
70,75,1.5,2.5,254,0.5511811023622047,3.5511811023622095,415,0.5349397590361445,-2.3686746987951772,0.5912532017835161
80,85,1.7,4.0,164,0.5182926829268293,6.835365853658537,244,0.45901639344262296,-5.663934426229509,0.5857157137145141
80,85,1.7,99.0,164,0.5182926829268293,6.835365853658537,244,0.45901639344262296,-5.663934426229509,0.5857157137145141
50,75,1.7,3.0,224,0.5044642857142857,5.799107142857142,357,0.4565826330532213,-4.6470588235294095,0.5760241596638664
50,70,1.7,3.0,240,0.5041666666666667,5.583333333333336,396,0.45707070707070707,-4.494949494949502,0.5441919191919169
60,85,1.5,2.5,238,0.5462184873949579,2.747899159663867,402,0.5373134328358209,-1.7164179104477582,0.5157406246080544
90,85,1.7,3.0,121,0.5289256198347108,6.074380165289258,181,0.4696132596685083,-5.044198895027625,0.5150906351308167
90,65,1.7,3.0,121,0.5289256198347108,6.074380165289258,181,0.4696132596685083,-5.044198895027625,0.5150906351308167
90,70,1.7,3.0,121,0.5289256198347108,6.074380165289258,181,0.4696132596685083,-5.044198895027625,0.5150906351308167
90,75,1.7,3.0,121,0.5289256198347108,6.074380165289258,181,0.4696132596685083,-5.044198895027625,0.5150906351308167
90,80,1.7,3.0,121,0.5289256198347108,6.074380165289258,181,0.4696132596685083,-5.044198895027625,0.5150906351308167
80,85,1.5,2.5,218,0.5596330275229358,4.770642201834866,345,0.527536231884058,-3.7420289855072437,0.514306608163811
70,65,1.5,2.5,259,0.5521235521235521,3.691119691119691,418,0.5334928229665071,-2.686602870813395,0.502258410153148
70,70,1.5,2.5,259,0.5521235521235521,3.691119691119691,418,0.5334928229665071,-2.686602870813395,0.502258410153148
70,75,2.0,99.0,126,0.4603174603174603,9.23015873015873,186,0.3978494623655914,-8.317204301075268,0.4564772145417306
70,65,2.0,99.0,127,0.4645669291338583,10.141732283464563,188,0.39361702127659576,-9.292553191489361,0.424589545987601
70,70,2.0,99.0,127,0.4645669291338583,10.141732283464563,188,0.39361702127659576,-9.292553191489361,0.424589545987601
60,80,1.5,2.5,257,0.5408560311284046,1.8949416342412464,429,0.5384615384615384,-1.1724941724941715,0.36122373087353743
70,80,1.5,3.0,270,0.5407407407407407,4.544444444444448,437,0.517162471395881,-3.983981693363845,0.2802313755403014
90,80,1.5,2.5,177,0.5536723163841808,2.327683615819209,278,0.5467625899280576,-1.8309352517985595,0.24837418201032468
90,70,1.5,2.5,177,0.5536723163841808,2.327683615819209,278,0.5467625899280576,-1.8309352517985595,0.24837418201032468
90,75,1.5,2.5,177,0.5536723163841808,2.327683615819209,278,0.5467625899280576,-1.8309352517985595,0.24837418201032468
90,65,1.5,2.5,177,0.5536723163841808,2.327683615819209,278,0.5467625899280576,-1.8309352517985595,0.24837418201032468
90,85,1.5,2.5,177,0.5536723163841808,2.327683615819209,278,0.5467625899280576,-1.8309352517985595,0.24837418201032468
50,80,1.5,2.5,263,0.5399239543726235,1.7072243346007618,437,0.5377574370709383,-1.244851258581234,0.23118653800976396
60,85,2.0,4.0,118,0.4491525423728814,4.542372881355932,167,0.41916167664670656,-4.083832335329341,0.22927027301329517
60,70,1.7,3.0,227,0.5110132158590308,6.837004405286344,371,0.4501347708894879,-6.3827493261455555,0.22712753957039444
70,80,2.0,99.0,124,0.45161290322580644,6.153225806451614,176,0.4090909090909091,-5.778409090909091,0.18740835777126152
70,80,1.7,4.0,204,0.5049019607843137,6.573529411764707,301,0.45182724252491696,-6.275747508305648,0.1488909517295296
70,85,1.7,4.0,188,0.5,5.271276595744682,277,0.4584837545126354,-5.223826714801445,0.023724940471618883
70,75,1.5,3.0,278,0.539568345323741,4.37769784172662,450,0.5133333333333333,-4.495555555555556,-0.0589288569144677
50,85,2.0,4.0,121,0.4462809917355372,3.8512396694214863,172,0.4186046511627907,-3.9941860465116283,-0.07147318854507101
50,85,2.0,99.0,122,0.4426229508196721,3.0,175,0.41714285714285715,-3.165714285714285,-0.08285714285714252
70,85,1.7,99.0,188,0.5,5.271276595744682,278,0.4568345323741007,-5.5647482014388485,-0.1467358028470831
80,70,2.0,99.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,70,2.0,4.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,75,2.0,4.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,75,2.0,99.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,65,2.0,99.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,65,2.0,4.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,80,2.0,4.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
80,80,2.0,99.0,96,0.4583333333333333,4.645833333333332,139,0.4172661870503597,-5.129496402877699,-0.24183153477218333
70,75,1.7,4.0,211,0.5071090047393365,7.563981042654031,318,0.44339622641509435,-8.084905660377363,-0.260462308861666
70,80,1.7,99.0,205,0.5024390243902439,6.053658536585368,302,0.4503311258278146,-6.5860927152317865,-0.2662170893232094
70,85,1.5,3.0,252,0.5396825396825397,3.6388888888888915,410,0.5170731707317073,-4.3317073170731675,-0.346409214092138
70,70,1.5,3.0,283,0.5406360424028268,4.491166077738517,455,0.5098901098901099,-5.193406593406595,-0.35112025783403933
70,65,1.5,3.0,283,0.5406360424028268,4.491166077738517,455,0.5098901098901099,-5.193406593406595,-0.35112025783403933
100,70,1.7,2.5,87,0.5402298850574713,5.977011494252875,122,0.47540983606557374,-6.868852459016393,-0.4459204823817591
100,80,1.7,2.5,87,0.5402298850574713,5.977011494252875,122,0.47540983606557374,-6.868852459016393,-0.4459204823817591
100,65,1.7,2.5,87,0.5402298850574713,5.977011494252875,122,0.47540983606557374,-6.868852459016393,-0.4459204823817591
100,75,1.7,2.5,87,0.5402298850574713,5.977011494252875,122,0.47540983606557374,-6.868852459016393,-0.4459204823817591
100,85,1.7,2.5,87,0.5402298850574713,5.977011494252875,122,0.47540983606557374,-6.868852459016393,-0.4459204823817591
60,85,2.0,99.0,119,0.44537815126050423,3.663865546218487,168,0.4166666666666667,-4.654761904761904,-0.4954481792717087
60,75,1.5,2.5,269,0.5390334572490706,1.3382899628252802,454,0.5330396475770925,-2.339207048458149,-0.5004585428164344
80,85,1.5,3.0,232,0.5474137931034483,4.258620689655176,366,0.5109289617486339,-5.461748633879779,-0.6015639721123014
80,80,1.7,99.0,170,0.5117647058823529,5.211764705882355,248,0.45564516129032256,-6.419354838709677,-0.6037950664136611
