w_inj,w_poss,w_xgr,w_elo_weak,odds_min,gap_min,N_all,N_F1,N_F2,WR_all_%,F1_ROI_%,F2_ROI_%,KellyF2_%,MaxDD_F2_%,Avg_ROI_%
3,3,0,15,2.0,110,69,14,22,52.2,47.0,29.3,27.0,21.5,38.2
5,0,0,12,2.1,110,49,14,15,57.1,27.0,49.3,47.9,14.7,38.2
5,10,3,8,2.1,110,62,19,18,58.1,51.7,24.4,22.3,21.4,38.1
5,10,0,8,2.1,110,60,19,18,58.3,51.7,24.4,22.3,21.4,38.1
3,7,8,15,2.0,110,80,17,24,52.5,47.8,28.3,25.8,20.6,38.1
5,10,5,8,2.1,110,63,19,18,57.1,51.7,24.4,22.3,21.4,38.1
0,0,0,15,2.0,110,61,14,17,52.5,47.0,28.8,27.0,21.4,37.9
0,0,3,15,2.0,110,64,14,17,51.6,47.0,28.8,27.0,21.4,37.9
0,0,5,15,2.0,110,65,14,17,50.8,47.0,28.8,27.0,21.4,37.9
7,7,0,8,2.0,110,69,15,24,53.6,48.2,27.5,25.8,21.5,37.8
7,5,8,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
5,7,8,8,2.1,110,59,17,17,55.9,43.7,31.8,29.7,18.1,37.7
5,3,5,8,2.2,110,30,10,10,63.3,35.8,39.5,36.6,11.5,37.7
7,3,8,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
7,5,5,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
5,10,0,8,2.0,110,73,19,23,54.8,51.7,23.7,21.5,21.5,37.7
7,7,0,10,2.1,110,57,16,18,57.9,38.9,36.4,34.8,18.1,37.7
5,7,5,8,2.1,110,59,17,17,55.9,43.7,31.8,29.7,18.1,37.7
5,5,5,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
7,3,5,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
5,10,5,8,2.0,110,76,19,23,53.9,51.7,23.7,21.5,21.5,37.7
5,10,3,8,2.0,110,75,19,23,54.7,51.7,23.7,21.5,21.5,37.7
5,7,3,8,2.1,110,58,17,17,56.9,43.7,31.8,29.7,18.1,37.7
5,5,3,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
7,7,0,12,2.1,110,58,16,18,58.6,38.9,36.4,34.8,18.1,37.7
7,7,0,15,2.0,110,77,17,24,53.2,47.8,27.5,25.8,21.5,37.7
5,3,8,8,2.2,110,30,10,10,63.3,35.8,39.5,36.6,11.5,37.7
5,5,8,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
7,5,3,8,2.2,110,31,10,10,64.5,35.8,39.5,36.6,11.5,37.7
7,3,5,15,2.1,110,62,18,18,56.5,38.8,36.4,34.8,18.1,37.6
